('Customer#011472112', 11472112, 458304292, datetime.date(1998, 2, 5), Decimal('591036.15'), Decimal('322.00'))
('Customer#011113726', 11113726, 346088583, datetime.date(1996, 2, 21), Decimal('548790.02'), Decimal('303.00'))
('Customer#003262783', 3262783, 327814241, datetime.date(1997, 4, 16), Decimal('548355.89'), Decimal('319.00'))
('Customer#002099413', 2099413, 507968289, datetime.date(1993, 1, 23), Decimal('547809.74'), Decimal('316.00'))
('Customer#009950764', 9950764, 442334435, datetime.date(1996, 10, 7), Decimal('547526.61'), Decimal('308.00'))
('Customer#012123581', 12123581, 496277122, datetime.date(1995, 3, 13), Decimal('547335.02'), Decimal('312.00'))
('Customer#005800261', 5800261, 493616454, datetime.date(1997, 1, 11), Decimal('547151.89'), Decimal('314.00'))
('Customer#002395564', 2395564, 584277191, datetime.date(1993, 10, 14), Decimal('546290.18'), Decimal('311.00'))
('Customer#001382375', 1382375, 43491654, datetime.date(1992, 5, 20), Decimal('546035.62'), Decimal('308.00'))
('Customer#001359841', 1359841, 373555077, datetime.date(1995, 5, 8), Decimal('545367.48'), Decimal('304.00'))
('Customer#000569440', 569440, 119020930, datetime.date(1995, 2, 19), Decimal('545201.16'), Decimal('309.00'))
('Customer#012179552', 12179552, 157723879, datetime.date(1992, 1, 6), Decimal('545008.93'), Decimal('320.00'))
('Customer#000328568', 328568, 584293472, datetime.date(1997, 2, 4), Decimal('544997.41'), Decimal('317.00'))
('Customer#005098117', 5098117, 82043264, datetime.date(1996, 4, 15), Decimal('544838.33'), Decimal('330.00'))
('Customer#012375202', 12375202, 272622276, datetime.date(1995, 8, 13), Decimal('543957.13'), Decimal('301.00'))
('Customer#006394964', 6394964, 410876964, datetime.date(1994, 11, 15), Decimal('543654.37'), Decimal('324.00'))
('Customer#012130760', 12130760, 152975303, datetime.date(1992, 11, 23), Decimal('543496.47'), Decimal('311.00'))
('Customer#005021956', 5021956, 163897538, datetime.date(1992, 5, 10), Decimal('543411.84'), Decimal('315.00'))
('Customer#014745380', 14745380, 323533249, datetime.date(1993, 3, 31), Decimal('543411.82'), Decimal('322.00'))
('Customer#005387083', 5387083, 394137797, datetime.date(1993, 9, 14), Decimal('542890.62'), Decimal('308.00'))
('Customer#001070318', 1070318, 91475014, datetime.date(1996, 11, 15), Decimal('542874.97'), Decimal('314.00'))
('Customer#011639476', 11639476, 512860422, datetime.date(1995, 11, 20), Decimal('542855.00'), Decimal('311.00'))
('Customer#009557132', 9557132, 80293413, datetime.date(1992, 6, 12), Decimal('542680.80'), Decimal('305.00'))
('Customer#012639745', 12639745, 215706726, datetime.date(1992, 10, 29), Decimal('541693.09'), Decimal('305.00'))
('Customer#010933264', 10933264, 505312545, datetime.date(1995, 7, 19), Decimal('541378.70'), Decimal('309.00'))
('Customer#006633514', 6633514, 561405959, datetime.date(1994, 9, 10), Decimal('541176.68'), Decimal('308.00'))
('Customer#008668609', 8668609, 19730208, datetime.date(1994, 1, 24), Decimal('540531.95'), Decimal('305.00'))
('Customer#000793051', 793051, 103963585, datetime.date(1996, 10, 27), Decimal('540445.27'), Decimal('313.00'))
('Customer#000194932', 194932, 233298977, datetime.date(1997, 11, 16), Decimal('540319.71'), Decimal('304.00'))
('Customer#007585013', 7585013, 41325120, datetime.date(1997, 5, 2), Decimal('540248.88'), Decimal('309.00'))
('Customer#005034994', 5034994, 571000834, datetime.date(1997, 8, 2), Decimal('540244.15'), Decimal('303.00'))
('Customer#013646452', 13646452, 109414535, datetime.date(1997, 1, 9), Decimal('539803.25'), Decimal('302.00'))
('Customer#010763563', 10763563, 575451169, datetime.date(1994, 1, 18), Decimal('539403.56'), Decimal('329.00'))
('Customer#003878665', 3878665, 465165376, datetime.date(1995, 8, 3), Decimal('539331.83'), Decimal('312.00'))
('Customer#009475150', 9475150, 486502979, datetime.date(1995, 1, 21), Decimal('539173.83'), Decimal('308.00'))
('Customer#007359265', 7359265, 402919200, datetime.date(1997, 3, 14), Decimal('539028.84'), Decimal('312.00'))
('Customer#009274702', 9274702, 545970215, datetime.date(1997, 12, 17), Decimal('538976.86'), Decimal('303.00'))
('Customer#008402254', 8402254, 539392967, datetime.date(1993, 2, 23), Decimal('538886.31'), Decimal('333.00'))
('Customer#008654869', 8654869, 100176839, datetime.date(1993, 4, 12), Decimal('538846.61'), Decimal('317.00'))
('Customer#007498450', 7498450, 140933856, datetime.date(1993, 4, 16), Decimal('538585.17'), Decimal('309.00'))
('Customer#001291604', 1291604, 220248583, datetime.date(1995, 8, 18), Decimal('538171.18'), Decimal('304.00'))
('Customer#005159660', 5159660, 160674945, datetime.date(1996, 5, 16), Decimal('537771.10'), Decimal('310.00'))
('Customer#014286853', 14286853, 423877508, datetime.date(1995, 3, 2), Decimal('536949.18'), Decimal('319.00'))
('Customer#008779822', 8779822, 211965092, datetime.date(1996, 7, 18), Decimal('536768.43'), Decimal('314.00'))
('Customer#004955200', 4955200, 510010278, datetime.date(1996, 1, 8), Decimal('536693.57'), Decimal('302.00'))
('Customer#008208034', 8208034, 446989058, datetime.date(1993, 7, 12), Decimal('536601.61'), Decimal('315.00'))
('Customer#009666952', 9666952, 475794275, datetime.date(1994, 9, 23), Decimal('536427.97'), Decimal('322.00'))
('Customer#011930665', 11930665, 107950688, datetime.date(1995, 8, 5), Decimal('536328.78'), Decimal('309.00'))
('Customer#014831182', 14831182, 92086567, datetime.date(1996, 6, 12), Decimal('536294.92'), Decimal('322.00'))
('Customer#009515017', 9515017, 462317029, datetime.date(1997, 1, 28), Decimal('535876.92'), Decimal('308.00'))
('Customer#008795228', 8795228, 275406304, datetime.date(1994, 12, 19), Decimal('535829.88'), Decimal('304.00'))
('Customer#013677323', 13677323, 387783079, datetime.date(1992, 4, 22), Decimal('535504.63'), Decimal('316.00'))
('Customer#004965692', 4965692, 250733185, datetime.date(1994, 6, 12), Decimal('535482.20'), Decimal('306.00'))
('Customer#004663856', 4663856, 159914310, datetime.date(1996, 9, 12), Decimal('535322.28'), Decimal('315.00'))
('Customer#014560954', 14560954, 420830819, datetime.date(1994, 3, 5), Decimal('534940.24'), Decimal('301.00'))
('Customer#003555572', 3555572, 190167361, datetime.date(1994, 8, 29), Decimal('534477.19'), Decimal('304.00'))
('Customer#000299162', 299162, 303098309, datetime.date(1996, 1, 28), Decimal('534421.58'), Decimal('315.00'))
('Customer#005747806', 5747806, 540886884, datetime.date(1994, 4, 14), Decimal('534288.51'), Decimal('314.00'))
('Customer#013094119', 13094119, 111128577, datetime.date(1995, 5, 9), Decimal('534239.89'), Decimal('316.00'))
('Customer#008259454', 8259454, 546232737, datetime.date(1997, 12, 7), Decimal('534055.44'), Decimal('303.00'))
('Customer#000090529', 90529, 112311041, datetime.date(1998, 1, 22), Decimal('534035.86'), Decimal('307.00'))
('Customer#004938865', 4938865, 595346338, datetime.date(1996, 8, 18), Decimal('533883.75'), Decimal('310.00'))
('Customer#012726752', 12726752, 92511430, datetime.date(1995, 3, 6), Decimal('533441.05'), Decimal('318.00'))
('Customer#009638569', 9638569, 16783360, datetime.date(1998, 2, 16), Decimal('533372.62'), Decimal('308.00'))
('Customer#000437614', 437614, 569537412, datetime.date(1992, 1, 7), Decimal('533305.85'), Decimal('305.00'))
('Customer#011219830', 11219830, 156065860, datetime.date(1996, 7, 3), Decimal('533119.17'), Decimal('325.00'))
('Customer#005060768', 5060768, 255829888, datetime.date(1997, 3, 18), Decimal('533054.97'), Decimal('308.00'))
('Customer#014112568', 14112568, 280056096, datetime.date(1997, 1, 30), Decimal('532881.87'), Decimal('313.00'))
('Customer#012373496', 12373496, 61135843, datetime.date(1993, 1, 30), Decimal('532734.68'), Decimal('303.00'))
('Customer#007910675', 7910675, 158520577, datetime.date(1992, 2, 29), Decimal('532689.01'), Decimal('304.00'))
('Customer#013106491', 13106491, 88925410, datetime.date(1995, 1, 10), Decimal('532631.76'), Decimal('310.00'))
