('Customer#101152111', 101152111, 1499040929, datetime.date(1998, 3, 11), Decimal('602901.81'), Decimal('321.00'))
('Customer#101782231', 101782231, 284878243, datetime.date(1997, 10, 10), Decimal('575916.57'), Decimal('323.00'))
('Customer#040659991', 40659991, 2582628006, datetime.date(1994, 8, 19), Decimal('575441.42'), Decimal('314.00'))
('Customer#037960682', 37960682, 532893635, datetime.date(1995, 6, 24), Decimal('574223.79'), Decimal('301.00'))
('Customer#108532363', 108532363, 4400931107, datetime.date(1994, 2, 27), Decimal('574100.33'), Decimal('306.00'))
('Customer#114480628', 114480628, 806935329, datetime.date(1993, 2, 18), Decimal('573772.88'), Decimal('316.00'))
('Customer#134568274', 134568274, 3261202341, datetime.date(1997, 5, 2), Decimal('573772.88'), Decimal('316.00'))
('Customer#132153505', 132153505, 5599221478, datetime.date(1993, 1, 29), Decimal('573737.84'), Decimal('306.00'))
('Customer#078450781', 78450781, 4884318564, datetime.date(1996, 8, 16), Decimal('573624.67'), Decimal('311.00'))
('Customer#124859951', 124859951, 3657185058, datetime.date(1997, 8, 23), Decimal('573624.67'), Decimal('311.00'))
('Customer#063651566', 63651566, 1202918022, datetime.date(1998, 7, 26), Decimal('573624.67'), Decimal('311.00'))
('Customer#057135973', 57135973, 3634131526, datetime.date(1996, 3, 9), Decimal('573612.25'), Decimal('340.00'))
('Customer#032545192', 32545192, 1343944801, datetime.date(1992, 5, 31), Decimal('572488.63'), Decimal('306.00'))
('Customer#108596293', 108596293, 4971659427, datetime.date(1993, 6, 23), Decimal('572437.01'), Decimal('321.00'))
('Customer#006292942', 6292942, 1290258885, datetime.date(1994, 3, 12), Decimal('572437.01'), Decimal('321.00'))
('Customer#074772199', 74772199, 63125379, datetime.date(1997, 7, 20), Decimal('572437.01'), Decimal('321.00'))
('Customer#114100846', 114100846, 3023811459, datetime.date(1998, 7, 22), Decimal('571357.62'), Decimal('320.00'))
('Customer#118578193', 118578193, 1089608166, datetime.date(1996, 7, 2), Decimal('570828.81'), Decimal('304.00'))
('Customer#115828270', 115828270, 31587747, datetime.date(1998, 6, 2), Decimal('570681.88'), Decimal('308.00'))
('Customer#006413804', 6413804, 3242971905, datetime.date(1994, 4, 7), Decimal('570492.98'), Decimal('320.00'))
('Customer#133341095', 133341095, 788704869, datetime.date(1994, 8, 16), Decimal('570492.98'), Decimal('320.00'))
('Customer#043084931', 43084931, 5223464708, datetime.date(1992, 6, 28), Decimal('570389.68'), Decimal('311.00'))
('Customer#065659838', 65659838, 4428624455, datetime.date(1995, 10, 5), Decimal('569515.36'), Decimal('302.00'))
('Customer#102912673', 102912673, 2837733026, datetime.date(1994, 1, 2), Decimal('569434.53'), Decimal('321.00'))
('Customer#134691712', 134691712, 1610599520, datetime.date(1997, 10, 6), Decimal('569434.53'), Decimal('321.00'))
('Customer#133785118', 133785118, 4291381154, datetime.date(1992, 6, 18), Decimal('569054.71'), Decimal('316.00'))
('Customer#112517252', 112517252, 3924886883, datetime.date(1994, 4, 27), Decimal('568933.98'), Decimal('319.00'))
('Customer#061802131', 61802131, 2697753377, datetime.date(1995, 10, 29), Decimal('568933.98'), Decimal('319.00'))
('Customer#044241475', 44241475, 1470619847, datetime.date(1996, 9, 21), Decimal('568933.98'), Decimal('319.00'))
('Customer#113583799', 113583799, 2902156486, datetime.date(1995, 9, 21), Decimal('568854.26'), Decimal('324.00'))
('Customer#038863337', 38863337, 1607224230, datetime.date(1994, 3, 24), Decimal('568840.67'), Decimal('334.00'))
('Customer#049365196', 49365196, 887077156, datetime.date(1994, 5, 18), Decimal('567785.50'), Decimal('310.00'))
('Customer#046048465', 46048465, 366258304, datetime.date(1996, 7, 14), Decimal('567537.51'), Decimal('329.00'))
('Customer#136054511', 136054511, 5672866272, datetime.date(1996, 10, 9), Decimal('566877.06'), Decimal('313.00'))
('Customer#057251914', 57251914, 2432171076, datetime.date(1996, 12, 7), Decimal('566568.11'), Decimal('314.00'))
('Customer#149815216', 149815216, 2334116806, datetime.date(1994, 9, 13), Decimal('566098.85'), Decimal('332.00'))
('Customer#046566512', 46566512, 4788383842, datetime.date(1996, 4, 6), Decimal('566098.85'), Decimal('332.00'))
('Customer#091040488', 91040488, 2110959363, datetime.date(1995, 4, 28), Decimal('565887.09'), Decimal('317.00'))
('Customer#049365091', 49365091, 4933264166, datetime.date(1996, 12, 2), Decimal('565410.38'), Decimal('311.00'))
('Customer#113136694', 113136694, 4405836001, datetime.date(1992, 8, 1), Decimal('565358.98'), Decimal('306.00'))
('Customer#049540060', 49540060, 2773108485, datetime.date(1992, 10, 8), Decimal('565049.31'), Decimal('310.00'))
('Customer#043289999', 43289999, 5549093153, datetime.date(1994, 2, 8), Decimal('564554.56'), Decimal('306.00'))
('Customer#098770411', 98770411, 1867692611, datetime.date(1996, 6, 10), Decimal('564554.56'), Decimal('306.00'))
('Customer#129943178', 129943178, 5303742087, datetime.date(1993, 7, 27), Decimal('564095.96'), Decimal('312.00'))
('Customer#028718959', 28718959, 2347467587, datetime.date(1995, 5, 16), Decimal('564084.38'), Decimal('303.00'))
('Customer#018373489', 18373489, 1483996513, datetime.date(1996, 2, 5), Decimal('563944.00'), Decimal('302.00'))
('Customer#145473655', 145473655, 5165397031, datetime.date(1997, 11, 20), Decimal('563944.00'), Decimal('302.00'))
('Customer#036562483', 36562483, 4438202050, datetime.date(1996, 5, 4), Decimal('563803.91'), Decimal('307.00'))
('Customer#096445474', 96445474, 3211068544, datetime.date(1997, 9, 5), Decimal('563803.91'), Decimal('307.00'))
('Customer#127471039', 127471039, 687992070, datetime.date(1995, 7, 9), Decimal('563600.00'), Decimal('301.00'))
('Customer#125816035', 125816035, 2659319175, datetime.date(1994, 12, 10), Decimal('563561.26'), Decimal('303.00'))
('Customer#115301575', 115301575, 5928465858, datetime.date(1997, 2, 4), Decimal('563439.72'), Decimal('326.00'))
('Customer#119408293', 119408293, 5619984103, datetime.date(1992, 10, 13), Decimal('563357.70'), Decimal('319.00'))
('Customer#001248484', 1248484, 3165717091, datetime.date(1995, 4, 30), Decimal('563357.70'), Decimal('319.00'))
('Customer#013429135', 13429135, 1872272804, datetime.date(1995, 3, 26), Decimal('563243.57'), Decimal('319.00'))
('Customer#097607102', 97607102, 4790242983, datetime.date(1997, 3, 10), Decimal('563116.75'), Decimal('318.00'))
('Customer#087278185', 87278185, 3051615111, datetime.date(1992, 9, 4), Decimal('562948.61'), Decimal('312.00'))
('Customer#090495487', 90495487, 323219458, datetime.date(1994, 4, 2), Decimal('562799.45'), Decimal('315.00'))
('Customer#036889892', 36889892, 1905938080, datetime.date(1993, 2, 27), Decimal('562402.38'), Decimal('325.00'))
('Customer#098308942', 98308942, 4360205092, datetime.date(1997, 1, 21), Decimal('562402.38'), Decimal('325.00'))
('Customer#090585199', 90585199, 2482928707, datetime.date(1996, 3, 24), Decimal('562276.16'), Decimal('320.00'))
('Customer#132930634', 132930634, 2136244069, datetime.date(1993, 11, 15), Decimal('562203.23'), Decimal('305.00'))
('Customer#028731811', 28731811, 5817644611, datetime.date(1996, 9, 16), Decimal('562203.23'), Decimal('305.00'))
('Customer#032640217', 32640217, 4547412257, datetime.date(1992, 1, 11), Decimal('562120.22'), Decimal('317.00'))
('Customer#080510425', 80510425, 2777712454, datetime.date(1993, 4, 16), Decimal('562106.83'), Decimal('326.00'))
('Customer#017403719', 17403719, 423230980, datetime.date(1992, 9, 15), Decimal('562085.83'), Decimal('318.00'))
('Customer#049659511', 49659511, 4119752935, datetime.date(1994, 4, 10), Decimal('562045.58'), Decimal('318.00'))
('Customer#036267238', 36267238, 2444565926, datetime.date(1993, 12, 22), Decimal('561871.98'), Decimal('308.00'))
('Customer#068876590', 68876590, 5046333223, datetime.date(1996, 6, 27), Decimal('561727.52'), Decimal('312.00'))
('Customer#071732339', 71732339, 3819199717, datetime.date(1998, 1, 21), Decimal('561727.52'), Decimal('312.00'))
('Customer#145957105', 145957105, 3513237605, datetime.date(1992, 7, 21), Decimal('561561.86'), Decimal('305.00'))
('Customer#023538938', 23538938, 5967504641, datetime.date(1992, 8, 6), Decimal('561561.86'), Decimal('305.00'))
('Customer#076828936', 76828936, 532736640, datetime.date(1993, 7, 22), Decimal('561511.91'), Decimal('316.00'))
('Customer#091717477', 91717477, 320200161, datetime.date(1996, 9, 1), Decimal('561431.53'), Decimal('330.00'))
('Customer#047220364', 47220364, 1982527973, datetime.date(1994, 12, 7), Decimal('561204.52'), Decimal('315.00'))
('Customer#096201739', 96201739, 3209661479, datetime.date(1996, 9, 24), Decimal('561204.52'), Decimal('315.00'))
('Customer#013054039', 13054039, 4975580870, datetime.date(1996, 7, 1), Decimal('561173.50'), Decimal('329.00'))
('Customer#007156082', 7156082, 563000294, datetime.date(1998, 5, 5), Decimal('561114.32'), Decimal('303.00'))
('Customer#104934928', 104934928, 729036576, datetime.date(1993, 8, 1), Decimal('561067.11'), Decimal('304.00'))
